size,f(x),time
100,Julia Naive,0.00331974
100,Julia Better,0.001515567
100,Julia Blas,0.000167363
100,Julia Naive,0.003251155
100,Julia Better,0.001714997
100,Julia Blas,4.5621E-05
100,Julia Naive,0.003389129
100,Julia Better,0.001787381
100,Julia Blas,7.3165E-05
100,Julia Naive,0.003458319
100,Julia Better,0.001720309
100,Julia Blas,8.0832E-05
100,Julia Naive,0.003247231
100,Julia Better,0.001725118
100,Julia Blas,4.7823E-05
100,Julia Naive,0.003309127
100,Julia Better,0.001821972
100,Julia Blas,0.000111106
100,Julia Naive,0.003370546
100,Julia Better,0.001738131
100,Julia Blas,6.6809E-05
100,Julia Naive,0.003246735
100,Julia Better,0.001721223
100,Julia Blas,4.5334E-05
100,Julia Naive,0.003245139
100,Julia Better,0.001793648
100,Julia Blas,9.9269E-05
100,Julia Naive,0.003255006
100,Julia Better,0.001717441
100,Julia Blas,5.2439E-05
200,Julia Naive,0.024086549
200,Julia Better,0.010234099
200,Julia Blas,0.00042985
200,Julia Naive,0.023834482
200,Julia Better,0.009666166
200,Julia Blas,0.000274555
200,Julia Naive,0.023856276
200,Julia Better,0.009530358
200,Julia Blas,0.000288398
200,Julia Naive,0.023802927
200,Julia Better,0.009594278
200,Julia Blas,0.002422806
200,Julia Naive,0.023926558
200,Julia Better,0.010709018
200,Julia Blas,0.000457326
200,Julia Naive,0.024330051
200,Julia Better,0.009731612
200,Julia Blas,0.000452821
200,Julia Naive,0.023934433
200,Julia Better,0.009582355
200,Julia Blas,0.000298897
200,Julia Naive,0.02385026
200,Julia Better,0.009563025
200,Julia Blas,0.00027445
200,Julia Naive,0.023718134
200,Julia Better,0.009579498
200,Julia Blas,0.000273817
200,Julia Naive,0.023729249
200,Julia Better,0.009531384
200,Julia Blas,0.000269437
300,Julia Naive,0.072861577
300,Julia Better,0.032023588
300,Julia Blas,0.000764701
300,Julia Naive,0.073003717
300,Julia Better,0.031904011
300,Julia Blas,0.000793126
300,Julia Naive,0.072822294
300,Julia Better,0.032105504
300,Julia Blas,0.000715851
300,Julia Naive,0.077572006
300,Julia Better,0.033394579
300,Julia Blas,0.000812335
300,Julia Naive,0.073257682
300,Julia Better,0.031930634
300,Julia Blas,0.000814216
300,Julia Naive,0.077566016
300,Julia Better,0.032744899
300,Julia Blas,0.00082426
300,Julia Naive,0.073155483
300,Julia Better,0.031886237
300,Julia Blas,0.000795657
300,Julia Naive,0.077220665
300,Julia Better,0.0325202
300,Julia Blas,0.00081401
300,Julia Naive,0.072872603
300,Julia Better,0.031943698
300,Julia Blas,0.000739172
300,Julia Naive,0.072790261
300,Julia Better,0.032002714
300,Julia Blas,0.000739306
400,Julia Naive,0.168829184
400,Julia Better,0.075484724
400,Julia Blas,0.001935531
400,Julia Naive,0.173220894
400,Julia Better,0.075723834
400,Julia Blas,0.001927145
400,Julia Naive,0.175139504
400,Julia Better,0.097123906
400,Julia Blas,0.00493701
400,Julia Naive,0.174356134
400,Julia Better,0.075867586
400,Julia Blas,0.001953591
400,Julia Naive,0.16931096
400,Julia Better,0.078834772
400,Julia Blas,0.015521949
400,Julia Naive,0.173390885
400,Julia Better,0.078017524
400,Julia Blas,0.001946027
400,Julia Naive,0.169256845
400,Julia Better,0.08130671
400,Julia Blas,0.002059284
400,Julia Naive,0.192739722
400,Julia Better,0.086142829
400,Julia Blas,0.002002234
400,Julia Naive,0.169601955
400,Julia Better,0.079546026
400,Julia Blas,0.001969459
400,Julia Naive,0.172012633
400,Julia Better,0.077718303
400,Julia Blas,0.001919942
500,Julia Naive,0.35886528
500,Julia Better,0.150620334
500,Julia Blas,0.004701585
500,Julia Naive,0.333247601
500,Julia Better,0.150297799
500,Julia Blas,0.004635116
500,Julia Naive,0.356907192
500,Julia Better,0.148722389
500,Julia Blas,0.004648592
500,Julia Naive,0.331691259
500,Julia Better,0.149542721
500,Julia Blas,0.004578198
500,Julia Naive,0.32931418
500,Julia Better,0.147198734
500,Julia Blas,0.004608978
500,Julia Naive,0.335315616
500,Julia Better,0.149379264
500,Julia Blas,0.004582426
500,Julia Naive,0.329444008
500,Julia Better,0.146718585
500,Julia Blas,0.004590765
500,Julia Naive,0.331357427
500,Julia Better,0.148709669
500,Julia Blas,0.005242582
500,Julia Naive,0.331666817
500,Julia Better,0.147104052
500,Julia Blas,0.004604489
500,Julia Naive,0.333977783
500,Julia Better,0.147190385
500,Julia Blas,0.004683001
600,Julia Naive,0.569128074
600,Julia Better,0.258027186
600,Julia Blas,0.00435025
600,Julia Naive,0.572695306
600,Julia Better,0.253265379
600,Julia Blas,0.004764122
600,Julia Naive,0.577923977
600,Julia Better,0.2547293
600,Julia Blas,0.004330172
600,Julia Naive,0.574813188
600,Julia Better,0.260915705
600,Julia Blas,0.004270273
600,Julia Naive,0.572885177
600,Julia Better,0.256410555
600,Julia Blas,0.00429144
600,Julia Naive,0.61315905
600,Julia Better,0.262227602
600,Julia Blas,0.004299111
600,Julia Naive,0.567873239
600,Julia Better,0.258103358
600,Julia Blas,0.004330889
600,Julia Naive,0.572528228
600,Julia Better,0.254823449
600,Julia Blas,0.004238776
600,Julia Naive,0.604125681
600,Julia Better,0.2695665
600,Julia Blas,0.004295114
600,Julia Naive,0.689370404
600,Julia Better,0.314877197
600,Julia Blas,0.004663451
700,Julia Naive,1.01189566
700,Julia Better,0.520019692
700,Julia Blas,0.007745276
700,Julia Naive,1.119446169
700,Julia Better,0.447755766
700,Julia Blas,0.00758369
700,Julia Naive,0.990864054
700,Julia Better,0.506323169
700,Julia Blas,0.013025226
700,Julia Naive,1.155566182
700,Julia Better,0.473807562
700,Julia Blas,0.010578451
700,Julia Naive,1.029787111
700,Julia Better,0.410496979
700,Julia Blas,0.007484373
700,Julia Naive,0.914154337
700,Julia Better,0.404748844
700,Julia Blas,0.007866558
700,Julia Naive,0.911606859
700,Julia Better,0.407839572
700,Julia Blas,0.007507702
700,Julia Naive,0.91060157
700,Julia Better,0.406629209
700,Julia Blas,0.007565082
700,Julia Naive,0.910823772
700,Julia Better,0.406510977
700,Julia Blas,0.007531813
700,Julia Naive,0.912021684
700,Julia Better,0.407022869
700,Julia Blas,0.00749652
800,Julia Naive,1.38652675
800,Julia Better,0.645501518
800,Julia Blas,0.010808513
800,Julia Naive,1.378203554
800,Julia Better,0.611513202
800,Julia Blas,0.010878735
800,Julia Naive,1.373836994
800,Julia Better,0.608247922
800,Julia Blas,0.010990616
800,Julia Naive,1.375970912
800,Julia Better,0.608959599
800,Julia Blas,0.010856575
800,Julia Naive,1.377213435
800,Julia Better,0.607796142
800,Julia Blas,0.01080158
800,Julia Naive,1.394978448
800,Julia Better,0.638194219
800,Julia Blas,0.011450647
800,Julia Naive,1.374915311
800,Julia Better,0.60805422
800,Julia Blas,0.011300154
800,Julia Naive,1.372399736
800,Julia Better,0.608942312
800,Julia Blas,0.011249631
800,Julia Naive,1.376140474
800,Julia Better,0.608797696
800,Julia Blas,0.010771803
800,Julia Naive,1.374751664
800,Julia Better,0.608765966
800,Julia Blas,0.010781878
900,Julia Naive,1.993660831
900,Julia Better,0.872798843
900,Julia Blas,0.017254977
900,Julia Naive,1.946818223
900,Julia Better,0.871037528
900,Julia Blas,0.017961619
900,Julia Naive,1.949520593
900,Julia Better,0.883305748
900,Julia Blas,0.017555313
900,Julia Naive,1.942429152
900,Julia Better,0.900628565
900,Julia Blas,0.022464608
900,Julia Naive,1.988323677
900,Julia Better,1.015698192
900,Julia Blas,0.017194403
900,Julia Naive,1.948110599
900,Julia Better,0.869781499
900,Julia Blas,0.017489936
900,Julia Naive,1.942930235
900,Julia Better,0.872317946
900,Julia Blas,0.017256517
900,Julia Naive,1.99066732
900,Julia Better,0.871433552
900,Julia Blas,0.017300216
900,Julia Naive,1.950828732
900,Julia Better,0.87035571
900,Julia Blas,0.017200587
900,Julia Naive,1.941012725
900,Julia Better,0.871841859
900,Julia Blas,0.017754675
1000,Julia Naive,2.764671626
1000,Julia Better,1.208447832
1000,Julia Blas,0.025696309
1000,Julia Naive,2.741176229
1000,Julia Better,1.196692284
1000,Julia Blas,0.025472285
1000,Julia Naive,2.729202307
1000,Julia Better,1.198307775
1000,Julia Blas,0.02601937
1000,Julia Naive,2.77202308
1000,Julia Better,1.199169741
1000,Julia Blas,0.025453792
1000,Julia Naive,2.723412641
1000,Julia Better,1.206744589
1000,Julia Blas,0.025477569
1000,Julia Naive,2.724823466
1000,Julia Better,1.229517897
1000,Julia Blas,0.025966691
1000,Julia Naive,2.720417072
1000,Julia Better,1.197459763
1000,Julia Blas,0.02602102
1000,Julia Naive,2.716071188
1000,Julia Better,1.199059609
1000,Julia Blas,0.025493621
1000,Julia Naive,2.807006466
1000,Julia Better,1.208845576
1000,Julia Blas,0.025750778
1000,Julia Naive,2.731479883
1000,Julia Better,1.203956908
1000,Julia Blas,0.025836261
